category,features
'Filipino restaurant' - North Carolina - Island Cuisine,"North Carolina, 36.0381159, -80.3872258, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Healthy options, Quick bite, Good for kids, Casual, Groups"
'Ramen restaurant' - Florida - Dragon Bowl Ramen,"Florida, 28.5960002, -81.2858737, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Healthy options, Quick bite, Good for kids, Casual, College students"
'Californian restaurant' - California - Brasserie SLO,"California, 35.2790514, -120.6633735, Outdoor seating, Takeout, Dine-in, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Cozy, Family-friendly"
'Jamaican restaurant' - Georgia - Island Pot JA,"Georgia, 32.8193049, -83.6624164, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Healthy options, Quick bite, Good for kids, Casual, Family-friendly"
'Lunch restaurant' - Arizona - El quiché pupusas,"Arizona, 33.5687876, -112.0632502, Outdoor seating, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Healthy options, Quick bite, Good for kids, Casual, Groups"
'Puerto Rican restaurant' - North Carolina - Taino Restaurant,"North Carolina, 35.0631231, -80.6331685, Outdoor seating, Takeout, Dine-in, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, Family-friendly"
'Oyster bar restaurant' - Louisiana - Captain's Table,"Louisiana, 30.1978431, -93.2068825, Outdoor seating, Takeout, Dine-in, Wheelchair accessible entrance, Alcohol, Coffee, Comfort food, Bar onsite, Casual, Groups"
'Cuban restaurant' - Florida - La Sorpresa Latina Cuban Cafe,"Florida, 26.0992965, -81.74002639999999, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Coffee, Comfort food, Kids' menu, Gender-neutral restroom, Casual, Family-friendly"
'Latin American restaurant' - Texas - Chalet,"Texas, 32.8955477, -96.6833593, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Gender-neutral restroom, Casual, Family-friendly"
'Soul food restaurant' - North Carolina - Chicken Box Cafe,"North Carolina, 35.2804069, -80.7940445, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Coffee, Comfort food, Kids' menu, Good for kids, Casual, College students"
'Taiwanese restaurant' - California - Taiwan Restaurant,"California, 37.3048765, -121.8982615, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Healthy options, Quick bite, Good for kids, Casual, Groups"
'Venezuelan restaurant' - Georgia - Cylantros Venezuelan Cuisine Roswell,"Georgia, 34.0197997, -84.3129639, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, No"
'Korean restaurant' - Florida - Kami Poke,"Florida, 30.4307319, -84.2505753, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Healthy options, Quick bite, Good for kids, Casual, College students"
'Indian restaurant' - North Carolina - Raj's Kitchen,"North Carolina, 35.317236, -80.739373, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Healthy options, Quick bite, Good for kids, Casual, No"
'Brunch restaurant' - California - LIT Cafe OC,"California, 33.8541979, -117.8382562, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Gender-neutral restroom, Casual, Family-friendly"
'Korean restaurant' - Georgia - Dan Moo Ji,"Georgia, 33.9580556, -84.1408333, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, College students"
'Health food restaurant' - Tennessee - Boro Bowls,"Tennessee, 35.8452045, -86.39135069999999, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Healthy options, Kids' menu, Quick bite, Good for kids, Casual, College students"
'Jamaican restaurant' - Florida - Island Flavor Cafe,"Florida, 26.2064215, -80.23144429999999, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Healthy options, Quick bite, Good for kids, Casual, Family-friendly"
'Indian restaurant' - North Carolina - Lepakshi Indian Cuisine,"North Carolina, 35.8563434, -78.84042769999999, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Healthy options, Quick bite, Good for kids, Casual, Groups"
'Greek restaurant' - Tennessee - Happy Greek Cafe,"Tennessee, 35.1166497, -89.9459723, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Healthy options, Quick bite, Good for kids, Casual, No"
'Health food restaurant' - Florida - 3Natives,"Florida, 26.935733, -80.1350562, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Coffee, Healthy options, Kids' menu, Good for kids, Casual, Family-friendly"
'Indian restaurant' - California - Spice Garden Indian Restaurant,"California, 33.9850108, -117.7489344, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, Groups"
'Burrito restaurant' - New Mexico - LuLu's Kitchen on Rt66,"New Mexico, 35.0052082, -106.0486027, No-contact delivery, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, Tourists"
'Greek restaurant' - Arizona - Santorini's BBQ Grill,"Arizona, 33.5677665, -112.1665862, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Alcohol, Comfort food, Kids' menu, Good for kids, Casual, Family-friendly"
'Caribbean restaurant' - Georgia - Golden Krust Caribbean Restaurant,"Georgia, 33.398487, -84.7303, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Healthy options, Quick bite, Good for kids, Casual, Family-friendly"
'Latin American restaurant' - Florida - Rinconcito Miami #5 - Kendall Breeze,"Florida, 25.6485482, -80.39962469999999, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, Groups"
'Peruvian restaurant' - Florida - Eat Peru - Homestyle Peruvian Food,"Florida, 25.9901348, -80.2784666, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Gender-neutral restroom, Casual, Family-friendly"
'Cuban restaurant' - Florida - Jass Cuban Cafe,"Florida, 26.1894912, -80.25184329999999, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, No"
'Brunch restaurant' - South Carolina - Martin's Waffles and Wings,"South Carolina, 33.5194005, -80.881198, Curbside pickup, Takeout, Dine-in, Wheelchair accessible entrance, Coffee, Comfort food, Kids' menu, Good for kids, Casual, Tourists"
'Taco restaurant' - California - La cruda (tacos y mariscos),"California, 37.302686, -120.4931181, Curbside pickup, Takeout, Delivery, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, Groups"
'Caribbean restaurant' - Louisiana - Island Paradise Restaurant & Grill,"Louisiana, 29.9221955, -90.05101379999999, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Healthy options, Quick bite, Good for kids, Casual, Groups"
'Soul food restaurant' - Louisiana - Claudia's Soul Food,"Louisiana, 29.6967841, -91.3038505, Curbside pickup, Takeout, Dine-in, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, Family-friendly"
'Asian fusion restaurant' - Texas - Rock & Roll Sushi Hidalgo TX,"Texas, 26.0976448, -98.2618865, Outdoor seating, Takeout, Dine-in, Wheelchair accessible entrance, Coffee, Comfort food, Happy hour food, Gender-neutral restroom, Casual, Family-friendly"
'Southeast Asian restaurant' - Georgia - Taste of Asia,"Georgia, 34.510123, -83.5464131, Curbside pickup, Takeout, Dine-in, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, Family-friendly"
'Vegetarian restaurant' - South Carolina - Herban Market and Cafe,"South Carolina, 32.434036, -80.67987099999999, Outdoor seating, Takeout, Dine-in, Wheelchair accessible entrance, Coffee, Healthy options, Quick bite, Good for kids, Casual, College students"
'Vegan restaurant' - Florida - Cauli bites,"Florida, 26.1526803, -80.318337, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Healthy options, Quick bite, Good for kids, Casual, No"
'Korean restaurant' - Oklahoma - Gogi Gui Korean Grill,"Oklahoma, 36.118041, -95.9060005, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Healthy options, Small plates, Good for kids, Casual, Groups"
'Indian restaurant' - Florida - DHABA INDIAN KITCHEN,"Florida, 25.7881959, -80.19305419999999, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Healthy options, Quick bite, Good for kids, Casual, No"
'Health food restaurant' - Texas - Nutrismoothies & Salads,"Texas, 31.7700679, -106.4226135, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Healthy options, Quick bite, Good for kids, Casual, Groups"
'Soul food restaurant' - Tennessee - SugaShack,"Tennessee, 35.1393522, -90.0481695, Delivery, Takeout, Dine-in, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Groups"
'Lunch restaurant' - Georgia - The Lunch Box,"Georgia, 34.4710626, -84.4343761, Outdoor seating, Takeout, Dine-in, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, Family-friendly"
'Caribbean restaurant' - Alabama - Carib Kitchen,"Alabama, 32.9446173, -85.954932, Outdoor seating, Takeout, Dine-in, Wheelchair accessible entrance, Comfort food, Healthy options, Quick bite, Good for kids, Casual, Family-friendly"
'Hot dog restaurant' - Louisiana - Dat Dog,"Louisiana, 29.9348371, -90.1091377, Outdoor seating, Delivery, Takeout, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, College students"
'Brazilian restaurant' - Florida - Boteco,"Florida, 25.8479353, -80.1777238, Outdoor seating, Delivery, Takeaway, Wheelchair-accessible entrance, Alcohol, Beer, Cocktails, Good for kids, Casual, Groups"
'Mongolian barbecue restaurant' - Florida - Genghis Grill,"Florida, 27.9248196, -82.3175059, Curbside pickup, Delivery, Takeout, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, College students"
'Indian restaurant' - Texas - Bombay Bistro South Lamar,"Texas, 30.235987, -97.7953747, Curbside pickup, Delivery, Takeaway, Wheelchair-accessible entrance, Alcohol, Beer, Cocktails, Bar on site, Casual, Family friendly"
'Peruvian restaurant' - Florida - Pisco Restaurant and Bar,"Florida, 28.016133, -82.485083, Curbside pickup, Delivery, Drive-through, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Family-friendly"
'Dominican restaurant' - Texas - Punta Cana,"Texas, 29.9600857, -95.5432748, Curbside pickup, Delivery, Takeaway, Wheelchair-accessible entrance, Alcohol, Beer, Cocktails, Good for kids, Casual, Groups"
'Puerto Rican restaurant' - Florida - El Cilantrillo Restaurant,"Florida, 28.304153, -81.440354, Curbside pickup, Delivery, Takeaway, Wheelchair-accessible car park, Alcohol, Beer, Coffee, Bar on site, Casual, Family friendly"
'Hot dog restaurant' - Louisiana - Frankie's Dawg House,"Louisiana, 30.4234449, -91.1561275, Outdoor seating, Delivery, Takeout, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Good for kids, Casual, College students"
'Cajun restaurant' - Louisiana - Original Pierre Maspero's,"Louisiana, 29.9557361, -90.06523609999999, Curbside pickup, Delivery, Takeaway, Wheelchair-accessible entrance, Alcohol, Beer, Cocktails, Bar on site, Casual, Family friendly"
'Mongolian barbecue restaurant' - Georgia - Genghis Grill,"Georgia, 32.9245015, -83.73414989999999, Curbside pickup, Delivery, Takeout, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, College students"
'Vegan restaurant' - South Carolina - Good Life Cafe,"South Carolina, 34.0071472, -81.0359472, Outdoor seating, Delivery, Takeaway, Wheelchair-accessible car park, Alcohol, Beer, Coffee, Good for kids, Casual, Family friendly"
'Hot dog restaurant' - Florida - Nathan's Famous Cape Coral,"Florida, 26.6176872, -81.940567, Outdoor seating, Delivery, Takeout, Wheelchair accessible entrance, Comfort food, Kids' menu, Quick bite, Good for kids, Casual, Family-friendly"
"'Asian fusion restaurant' - North Carolina - Roll On In Sushi Burritos & Bowls- Wilmington, N.C.","North Carolina, 34.3104436, -77.877523, Curbside pickup, Delivery, Takeout, Wheelchair accessible entrance, Alcohol, Beer, Comfort food, Good for kids, Casual, College students"
'Salvadoran restaurant' - California - Los amigos restaurant,"California, 37.7643653, -122.4221372, Outdoor seating, Delivery, Takeout, Wheelchair accessible entrance, Alcohol, Beer, Coffee, Bar onsite, Casual, Family-friendly"
'Colombian restaurant' - Texas - Mi Pueblito Restaurant Katy,"Texas, 29.7767784, -95.778776, Curbside pickup, Delivery, Takeaway, Wheelchair-accessible entrance, Alcohol, Beer, Cocktails, Bar on site, Casual, Family friendly"
'Colombian restaurant' - Florida - Delicias Colombianas Jax,"Florida, 30.2874601, -81.5375672, Curbside pickup, Delivery, Takeaway, Wheelchair-accessible entrance, Alcohol, Beer, Coffee, Good for kids, Casual, Family friendly"
'Takeout Restaurant' - Tennessee - Roma Pizza & Pasta,"Tennessee, 35.9670603, -86.5036224, No-contact delivery, Delivery, Takeout, Wheelchair accessible entrance, Comfort food, Kids' menu, Quick bite, Good for kids, Casual, Family-friendly"
'Hot dog restaurant' - North Carolina - The Shake-N-Dog,"North Carolina, 35.9150705, -81.5401016, Curbside pickup, Delivery, Takeout, Wheelchair accessible entrance, Coffee, Comfort food, Kids' menu, Good for kids, Casual, College students"
'Fine dining restaurant' - California - Mastro's Ocean Club,"California, 34.039687, -118.5761328, Curbside pickup, Delivery, Takeaway, Wheelchair-accessible car park, Alcohol, Beer, Cocktails, Bar on site, Cosy, Family friendly"
'Pizza takeaway' - California - A Slice of New York,"California, 37.3235028, -121.9590056, Takeaway, Delivery, Dine-in, Wheelchair-accessible car park, Comfort food, Late-night food, Quick bite, Good for kids, Casual, Tourists"
'Korean restaurant' - California - Healthy Zone Jook Hyang,"California, 34.052807099999995, -118.305595, No-contact delivery, Delivery, Takeout, Wheelchair accessible entrance, Alcohol, Beer, Comfort food, Good for kids, Casual, Family-friendly"
'Latin American restaurant' - Florida - Ceviche Mix- Winter Garden,"Florida, 28.56396, -81.590786, Outdoor seating, Delivery, Takeout, Wheelchair accessible entrance, Alcohol, Beer, Comfort food, Bar onsite, Casual, Family-friendly"
'Vegan restaurant' - Florida - The Chocolate Chip Bakery,"Florida, 25.8039207, -80.191951, Curbside pickup, Delivery, Takeout, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, Tourists"
'Taco restaurant' - California - LA GRANA FISH,"California, 37.7749772, -122.2268549, Outdoor seating, Delivery, Takeaway, Wheelchair-accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, Family friendly"
'Asian fusion restaurant' - California - Chic n’ Time,"California, 37.7599101, -122.4211994, Outdoor seating, Delivery, Takeout, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, No"
'Jamaican restaurant' - Georgia - MBY Jamaican Cuisine INC.,"Georgia, 33.800640699999995, -84.7560628, No-contact delivery, Delivery, Takeout, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, Groups"
'Filipino restaurant' - California - Herbie's Cuisine,"California, 34.1059507, -117.898435, No-contact delivery, Delivery, Takeout, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, Groups"
'Indian restaurant' - North Carolina - Andaaz,"North Carolina, 35.5675916, -82.5437958, Curbside pickup, Delivery, Takeout, Wheelchair accessible entrance, Alcohol, Beer, Cocktails, Bar onsite, Casual, Family-friendly"
'Venezuelan restaurant' - Florida - El Toque Latin Restaurant,"Florida, 28.5270658, -81.4708278, Outdoor seating, Delivery, Takeout, Wheelchair accessible entrance, Comfort food, Kids' menu, Late-night food, Good for kids, Casual, Family-friendly"
'Cuban restaurant' - Florida - Joe´s Place,"Florida, 25.7968491, -80.31269809999999, Takeout, Delivery, No, Wheelchair accessible entrance, Coffee, Comfort food, Quick bite, Good for kids, Casual, Groups"
'Asian fusion restaurant' - California - Don's Teriyaki Grill,"California, 33.9180156, -118.0702578, No-contact delivery, Delivery, Takeout, Wheelchair accessible entrance, Comfort food, Healthy options, Kids' menu, Good for kids, Casual, Family-friendly"
'Colombian restaurant' - Florida - El Buen Pan Bakery and Restaurant,"Florida, 25.7680478, -80.364721, Curbside pickup, Delivery, Takeout, Wheelchair accessible entrance, Coffee, Comfort food, Healthy options, Good for kids, Casual, Family-friendly"
'Jamaican restaurant' - Tennessee - Island Paradise Takeout,"Tennessee, 35.1578265, -89.8853623, Outdoor seating, Delivery, Takeout, Wheelchair accessible parking lot, Comfort food, Late-night food, Quick bite, Good for kids, Casual, Family-friendly"
'Colombian restaurant' - Tennessee - Delicias colombianas,"Tennessee, 36.0019691, -83.9759557, Curbside pickup, Delivery, Takeout, Wheelchair accessible entrance, Coffee, Comfort food, Kids' menu, Good for kids, Casual, Family-friendly"
'Asian restaurant' - North Carolina - Carolina Sushi and Roll,"North Carolina, 35.8649852, -78.5705519, Curbside pickup, Delivery, Takeaway, Wheelchair-accessible car park, Beer, Comfort food, Healthy options, Good for kids, Casual, Family friendly"
'Venezuelan restaurant' - Florida - La Maracucha Food Truck,"Florida, 29.6513168, -82.37923889999999, Curbside pickup, Delivery, Takeout, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, College students"
'Puerto Rican restaurant' - Florida - Lucy's Puerto Rican Kitchen,"Florida, 28.565912, -81.3896279, Outdoor seating, Delivery, Takeout, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, No"
'Puerto Rican restaurant' - Tennessee - Rico Deli & More,"Tennessee, 35.1822076, -84.85968439999999, Curbside pickup, Delivery, Takeout, Wheelchair accessible entrance, Coffee, Comfort food, Kids' menu, Good for kids, Casual, Family-friendly"
'Cuban restaurant' - Florida - Rinconcito Miami #4 - Military Base,"Florida, 25.6038903, -80.41419739999999, Curbside pickup, Delivery, Takeaway, Wheelchair-accessible car park, Coffee, Comfort food, Healthy options, Good for kids, Casual, Groups"
'Haitian restaurant' - Florida - Sterlin's Paradise,"Florida, 26.2264359, -80.20385929999999, Curbside pickup, Delivery, Takeout, Wheelchair accessible entrance, Comfort food, Quick bite, Small plates, Good for kids, Casual, Family-friendly"
'Caribbean restaurant' - Georgia - Ilounge Taste The Difference,"Georgia, 33.9500846, -84.5240554, Curbside pickup, Delivery, Takeout, Wheelchair accessible entrance, Comfort food, Healthy options, Quick bite, Good for kids, Casual, No"
