state,name_y,category,latitude,longitude,class
Tennessee,Tennessee Valley Packing Co,'Food',35.6215744,-87.03091169999999,0
California,Monterey Mushrooms,'Food products supplier',37.1640839,-121.7059166,0
New Mexico,Wildly Natural Foods,'Health food store',36.7474098,-108.1737199,0
California,Jimbo's Hot Dogs,'Hot dog restaurant',38.013524,-122.5411911,0
South Carolina,PATH,'Food bank',34.9971184,-81.2371802,0
California,Eat Clean Meal Prep,'Delivery Restaurant',33.0196644,-116.8384254,0
South Carolina,Jeb's Seafood LLC,'Seafood market',32.9207013,-80.6635536,0
North Carolina,Atrium Food Court,'Food court',35.7876332,-78.6705882,0
Arizona,Szechuan Express,'Takeout Restaurant',33.394028899999995,-111.8758533,0
North Carolina,Asian Garden,'Asian fusion restaurant',35.6986751,-79.79021089999999,0
Oklahoma,Instagrub LLC,'Delivery service',36.3792506,-97.78254,0
Alabama,Tusculoosa Food Services,'Food',33.193978099999995,-87.57444989999999,0
Georgia,"International Restaurant & Bakery Equipment, Inc",'Restaurant supply store',33.5780567,-85.086323,0
Louisiana,Lemongrass Asian Fusion Cuisine,'Asian fusion restaurant',32.490840299999995,-93.6862233,0
Florida,Gormley's on the river | Modern cuisine in historic downtown Apalachicola Florida,'Modern French restaurant',29.7269487,-84.9815347,0
California,Quickly,'Asian fusion restaurant',38.3698399,-121.9621348,0
Alabama,Island Delight,'Jamaican restaurant',32.3676944,-86.34873329999999,0
California,Rocco's Cheesecake,'Dessert restaurant',34.0179313,-118.472686,0
Tennessee,Stratas Oil Co Central,'Food producer',36.1576652,-86.7213668,0
Oklahoma,Joe's Farm,'Food producer',35.9770514,-95.9037767,0
Texas,Caring Is Sharing,'Food bank',30.7728424,-94.4139862,0
Alabama,"The John R. White Company, Inc.",'Food products supplier',33.4457531,-86.8478561,0
Tennessee,Open Arms Ministry Food Pantry,'Food bank',36.3087968,-84.1797224,0
Florida,Taqueria Miguel,'Food producer',26.753427,-80.0558358,0
Tennessee,Tyson Foods Inc,'Food products supplier',36.3310149,-86.709977,0
Florida,Seasoned Crab House,'Seafood market',30.3219403,-81.53775639999999,0
Arizona,Tolleson Food Bank,'Food bank',33.446743399999995,-112.2600905,0
Florida,Jomara Seafood,'Seafood market',25.8423242,-80.2998174,0
Texas,CTI Foods,'Food manufacturer',32.8533393,-97.3544937,0
Arizona,101 Kosher,'Butcher shop deli',33.559881,-112.06484,0
Georgia,"Snyder's-Lance, Inc.",'Food manufacturer',32.4591243,-84.9804321,0
Arizona,Sedona Community Food Bank,'Food bank',34.8548941,-111.7946868,0
Florida,Deerfield Delivery Dudes,'Delivery Restaurant',26.2931284,-80.1116165,0
North Carolina,Fuji II Asian Food Express,'Mandarin restaurant',36.0413901,-79.8012645,0
Florida,For The Love Of Paws Pet Food Pantry,'Food bank',27.7681167,-80.5772489,0
Arizona,Rockin R Water Delivery,'Delivery service',34.6010565,-112.29122,0
Louisiana,"Foodnet Food Bank of Lafayette, LA",'Food bank',30.2298743,-92.0057277,0
California,Aldo's Italian Bakery,'Bakery',36.987828,-121.9577493,0
Tennessee,Gyros Kitchen Greek cafe & Taverna,'Greek restaurant',36.147535,-86.80771999999999,0
North Carolina,Cocoa's Oxtails & Jamerican Cafeteria,'Caribbean restaurant',35.2733528,-80.8533707,0
Louisiana,Chris Hansen Seafood,'Seafood market',29.4629392,-89.6871022,0
North Carolina,Teens Do Care Inc,'Food bank',35.1826453,-78.98358569999999,0
South Carolina,J & J Seafood,'Seafood market',34.6132102,-79.6825112,0
California,Tasty Bowl,'Asian fusion restaurant',33.5609636,-117.6709238,0
Oklahoma,Williams Foods,'Food products supplier',35.6346244,-97.7441406,0
California,Grill Spot,'Asian fusion restaurant',37.7818364,-122.4840721,0
Tennessee,General Mills,'Food products supplier',35.8029004,-86.3925898,0
Florida,Via Al Exito,'Delivery service',28.5234089,-81.3121067,0
South Carolina,Carrigg's Seafood,'Seafood wholesaler',32.8685664,-79.9919749,0
Louisiana,Ez Street Delivery,'Delivery service',30.959606,-92.732392,0
Texas,Southern Kitchen and More,'Soul food restaurant',30.1055628,-96.0487789,0
California,eAT-S,'Delivery service',34.4994432,-117.1809751,0
Arkansas,Viva Vegan,'Vegan restaurant',34.7406288,-92.3251214,0
Tennessee,Kellogg Co,'Food products supplier',35.094432999999995,-89.9884711,0
North Carolina,Wings +Plus,'Traditional American restaurant',35.070392,-78.894482,0
North Carolina,Raise-The-Grade,'Food and beverage consultant',36.0494385,-79.841552,0
Texas,Esmeralda's Flower Shop,'Flower delivery',25.922279,-97.482236,0
Texas,Passion Flowers,'Flower delivery',29.7541176,-95.5504096,0
Texas,DiMare Fresh – Houston,'Food products supplier',29.6547119,-95.3824533,0
Florida,SOS Foundation Food Pantry,'Food bank',24.5725823,-81.73680069999999,0
Alabama,Faye's Famous Franks,'Hot dog restaurant',33.604791899999995,-86.79815669999999,0
Oklahoma,The Lord's Harvest community service,'Food bank',35.532523,-97.964794,0
Florida,Fishbusterz Retail Seafood Market,'Seafood wholesaler',24.5707217,-81.7341549,0
Texas,Tacos & Avocados,'Taco restaurant',32.5627307,-97.1417751,0
Louisiana,Minnie's Place,'Soul food restaurant',30.1049628,-90.9880819,0
North Carolina,Copacabana,'Brazilian restaurant',35.6641641,-80.4997549,0
South Carolina,Restaurant Depot,'Restaurant supply store',32.8559799,-79.9833831,0
Oklahoma,Hands of Jesus,'Food bank',35.879304,-97.4543507,0
Tennessee,Seoul Pepper,'Korean restaurant',35.7831742,-86.40193939999999,0
Florida,SERVIFRUIT CORP.,'Food processing company',25.9859917,-80.14767499999999,0
South Carolina,Addielees,'Soul food restaurant',33.1924213,-80.0060616,0
Texas,Square Nutrition,'Health food restaurant',32.5473849,-94.3671909,0
Georgia,Salvation Army Food Bank,'Food bank',34.7663958,-84.7718265,0
Florida,Jealous Fork,'Food manufacturer',25.6950485,-80.3737932,0
Georgia,Teriyaki Experience,'Asian restaurant',33.6406138,-84.4444293,0
Louisiana,Down South Cajun Restaurant,'Cajun restaurant',32.478928,-93.7975803,0
Arizona,Hot Dogs El Perron de Obregón.,'Hot dog restaurant',32.294684499999995,-111.0123728,0
California,Costco Food Court,'Food court',36.2930896,-119.3063561,0
Arizona,Eden's Bakery,'Bakery',33.5982126,-112.1353849,0
Tennessee,Tate & Lyle,'Food production',35.734753,-84.3198994,0
Florida,Super Cafeteria LLC,'Cuban restaurant',25.8658744,-80.3109616,0
Tennessee,931 Delivers,'Delivery service',35.4745026,-86.08262599999999,0
Texas,Just Fresh,'Health food restaurant',26.1505999,-97.8242075,0
Louisiana,LA Shrimpman,'Seafood market',30.4042476,-90.152174,0
Florida,Responsible Vendors Inc,'Food and beverage consultant',25.919627,-80.22433699999999,0
Tennessee,Taylor Farms Tennessee Inc.,'Food products supplier',35.9987144,-86.50074,0
Arizona,Dream Nutrition,'Health food restaurant',33.3640179,-111.9281471,0
California,Tamales Mi Lupitas,'Health food store',37.792283,-122.2287265,0
California,Giant Union Co Inc,'Delivery Restaurant',34.018457999999995,-118.0498916,0
Texas,Cork & Pig Tavern #5,'Food and drink',32.0326938,-102.0819507,0
Florida,Rico's Acai,'Health food store',27.8887732,-82.49369759999999,0
Georgia,Atlanta Community Food Bank,'Food bank',33.7752609,-84.4184976,0
South Carolina,Gore Seafood,'Seafood market',34.1778457,-79.3855694,0
California,Costco Food Court,'Food court',40.7921599,-124.1830222,0
Oklahoma,Mid-Del Food Pantry,'Food bank',35.4682513,-97.3862923,0
California,Mariani Nut Co,'Food processing company',38.5271966,-121.968018,0
Florida,Modern Muse,'Modeling agency',28.5410224,-81.37871059999999,0
Tennessee,Premium Food Delivery LLC.,'Delivery service',36.4723396,-86.6503372,0
Texas,Crisis Food Ministry,'Food bank',32.8126582,-96.945707,0
Florida,ChurroMania,'Food service',27.9571504,-82.5028047,0
Tennessee,Sweet CeCe's Frozen Treats,'Dessert restaurant',35.7420628,-86.93906,0
California,Mezzetta,'Food products supplier',38.1940303,-122.2755448,0
Georgia,Trident Seafoods Corporation,'Food products supplier',33.6167609,-85.11050399999999,0
Arizona,Friends of the Quartzsite Food Bank,'Food bank',33.6680163,-114.229,0
Georgia,Suzanna's Kitchen,'Food processing company',33.9798009,-84.1702669,0
Georgia,King Seafood at Belvedere,'Seafood market',33.751253,-84.274405,0
California,Tracy Interfaith Ministries,'Food bank',37.755081,-121.4301711,0
California,Xcellent Nutrition Meal Prep,'Health food restaurant',33.9138626,-118.072167,0
Florida,T&S Island Jerk,'Jamaican restaurant',27.273515,-80.340673,0
California,FoodRunners Delivery Service,'Delivery service',39.3004336,-123.5032484,0
North Carolina,Ludlum’s Produce,'Fresh food market',33.9353828,-78.29436489999999,0
South Carolina,Hana Restaurant,'Korean restaurant',32.9160696,-80.1079421,0
Florida,BorinCuba Juice And Food Bar,'Health food restaurant',27.9664655,-82.4846128,0
Oklahoma,Hands of Grace Center aka Zoe Institute,'Food bank',35.8519368,-94.9717437,0
North Carolina,Tyson Foods,'Food manufacturer',35.7147124,-81.1372335,0
Texas,Polar Chill Shaved Ice,'Dessert restaurant',32.977078,-96.739531,0
California,El Burrito Gordo,'Delivery Restaurant',37.8121086,-122.2648836,0
Georgia,ICNA Relief Food Pantry,'Food bank',33.8075429,-84.18794559999999,0
